"condition_name","omop_cui","vocabulary_cui","vocabulary_name"
"Peripheral T cell lymphoma, intrapelvic lymph nodes",44827581,"202.76",ICD9CM
Multiple myeloma and immunoproliferative neoplasms,44827582,"203",ICD9CM
"Multiple myeloma, in remission",44827583,"203.01",ICD9CM
"Chronic myeloid leukemia, in relapse",44827584,"205.12",ICD9CM
"Subacute myeloid leukemia, in relapse",44827585,"205.22",ICD9CM
Other specified leukemia,44827586,"207",ICD9CM
Chronic erythremia,44827587,"207.1",ICD9CM
Unspecified leukemia,44827588,"208.9",ICD9CM
Neuroendocrine tumors,44827589,"209",ICD9CM
Malignant carcinoid tumor of unknown primary site,44827590,"209.20",ICD9CM
Merkel cell carcinoma of the lower limb,44827591,"209.34",ICD9CM
Benign carcinoid tumor of the duodenum,44827592,"209.41",ICD9CM
Benign carcinoid tumor of the stomach,44827593,"209.63",ICD9CM
"Secondary neuroendocrine tumor, unspecified site",44827594,"209.70",ICD9CM
Secondary neuroendocrine tumor of peritoneum,44827595,"209.74",ICD9CM
Benign neoplasm of esophagus,44827596,"211.0",ICD9CM
Benign neoplasm of larynx,44827597,"212.1",ICD9CM
"Benign neoplasm of ribs, sternum, and clavicle",44827598,"213.3",ICD9CM
Other benign neoplasm of connective and other soft tissue of thorax,44827599,"215.4",ICD9CM
"Benign neoplasm of skin of lower limb, including hip",44827600,"216.7",ICD9CM
"Benign neoplasm of skin, site unspecified",44827601,"216.9",ICD9CM
Benign neoplasm of cervix uteri,44827602,"219.0",ICD9CM
Benign neoplasm of vagina,44827603,"221.1",ICD9CM
Benign neoplasm of eye,44827604,"224",ICD9CM
Benign neoplasm of other endocrine glands and related structures,44827605,"227",ICD9CM
"Carcinoma in situ of respiratory system, part unspecified",44827606,"231.9",ICD9CM
Neoplasm of uncertain behavior of other and unspecified endocrine glands,44827607,"237.4",ICD9CM
Neurofibromatosis,44827608,"237.7",ICD9CM
Neoplasm of uncertain behavior of other and unspecified sites and tissues,44827609,"238",ICD9CM
"Myelodysplastic syndrome, unspecified",44827610,"238.75",ICD9CM
Neoplasm of unspecified nature of brain,44827611,"239.6",ICD9CM
"Malignant neoplasm of lip, unspecified, inner aspect",44824021,"140.5",ICD9CM
"Malignant neoplasm of lip, unspecified, vermilion border",44824022,"140.9",ICD9CM
Malignant neoplasm of sigmoid colon,44824023,"153.3",ICD9CM
Malignant neoplasm of thymus,44824024,"164.0",ICD9CM
Malignant neoplasm of scapula and long bones of upper limb,44824025,"170.4",ICD9CM
"Malignant melanoma of skin of lower limb, including hip",44824026,"172.7",ICD9CM
Other and unspecified malignant neoplasm of skin,44824027,"173",ICD9CM
"Other specified malignant neoplasm of skin of upper limb, including shoulder",44824028,"173.69",ICD9CM
"Malignant neoplasm of breast (female), unspecified",44824029,"174.9",ICD9CM
Malignant neoplasm of broad ligament of uterus,44824030,"183.3",ICD9CM
Malignant neoplasm of round ligament of uterus,44824031,"183.5",ICD9CM
Malignant neoplasm of penis and other male genital organs,44824032,"187",ICD9CM
Malignant neoplasm of scrotum,44824033,"187.7",ICD9CM
Malignant neoplasm of bladder,44824034,"188",ICD9CM
"Malignant neoplasm of upper lip, inner aspect",44825188,"140.3",ICD9CM
Malignant neoplasm of base of tongue,44825189,"141.0",ICD9CM
Malignant neoplasm of dorsal surface of tongue,44825190,"141.1",ICD9CM
Malignant neoplasm of submandibular gland,44825191,"142.1",ICD9CM
Malignant neoplasm of other major salivary glands,44825192,"142.8",ICD9CM
Malignant neoplasm of cheek mucosa,44825193,"145.0",ICD9CM
Malignant neoplasm of hard palate,44825194,"145.2",ICD9CM
Malignant neoplasm of vallecula epiglottica,44825195,"146.3",ICD9CM
Malignant neoplasm of rectum,44825196,"154.1",ICD9CM
Malignant neoplasm of body of pancreas,44825197,"157.1",ICD9CM
Malignant neoplasm of other sites of digestive system and intra-abdominal organs,44825198,"159.8",ICD9CM
Malignant neoplasm of larynx,44825199,"161",ICD9CM
"Malignant neoplasm of upper lobe, bronchus or lung",44825200,"162.3",ICD9CM
Malignant melanoma of other specified sites of skin,44825201,"172.8",ICD9CM
Other malignant neoplasm of skin of lip,44825202,"173.0",ICD9CM
Other and unspecified malignant neoplasm of skin of other and unspecified parts of face,44825203,"173.3",ICD9CM
"Kaposi's sarcoma, palate",44825204,"176.2",ICD9CM
"Kaposi's sarcoma, gastrointestinal sites",44825205,"176.3",ICD9CM
"Kaposi's sarcoma, lymph nodes",44825206,"176.5",ICD9CM
Malignant neoplasm of endocervix,44825207,"180.0",ICD9CM
Malignant neoplasm of labia majora,44825208,"184.1",ICD9CM
"Malignant neoplasm of female genital organ, site unspecified",44825209,"184.9",ICD9CM
Malignant neoplasm of other specified sites of male genital organs,44825210,"187.8",ICD9CM
Malignant neoplasm of ureter,44825211,"189.2",ICD9CM
Malignant neoplasm of occipital lobe,44825212,"191.4",ICD9CM
Malignant neoplasm of other and unspecified parts of nervous system,44825213,"192",ICD9CM
Malignant neoplasm of thyroid gland,44825214,"193",ICD9CM
"Lymphosarcoma, unspecified site, extranodal and solid organ sites",44825215,"200.10",ICD9CM
"Burkitt's tumor or lymphoma, lymph nodes of axilla and upper limb",44825216,"200.24",ICD9CM
"Burkitt's tumor or lymphoma, spleen",44825217,"200.27",ICD9CM
"Marginal zone lymphoma, unspecified site, extranodal and solid organ sites",44825218,"200.30",ICD9CM
"Large cell lymphoma, lymph nodes of axilla and upper limb",44825219,"200.74",ICD9CM
"Hodgkin's paragranuloma, intrapelvic lymph nodes",44825220,"201.06",ICD9CM
Hodgkin's granuloma,44825221,"201.1",ICD9CM
"Hodgkin's granuloma, intrapelvic lymph nodes",44825222,"201.16",ICD9CM
"Hodgkin's disease, lymphocytic-histiocytic predominance, intrapelvic lymph nodes",44825223,"201.46",ICD9CM
"Hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of multiple sites",44825224,"201.48",ICD9CM
"Sezary's disease, unspecified site, extranodal and solid organ sites",44825225,"202.20",ICD9CM
"Malignant histiocytosis, lymph nodes of axilla and upper limb",44825226,"202.34",ICD9CM
Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue,44825227,"202.9",ICD9CM
"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, intra-abdominal lymph nodes",44825228,"202.93",ICD9CM
"Multiple myeloma, in relapse",44825229,"203.02",ICD9CM
"Plasma cell leukemia, in remission",44825230,"203.11",ICD9CM
"Chronic lymphoid leukemia, in remission",44825231,"204.11",ICD9CM
Myeloid leukemia,44825232,"205",ICD9CM
"Subacute monocytic leukemia, without mention of having achieved remission",44825233,"206.20",ICD9CM
"Other monocytic leukemia, without mention of having achieved remission",44825234,"206.80",ICD9CM
"Unspecified monocytic leukemia, in remission",44825235,"206.91",ICD9CM
"Acute erythremia and erythroleukemia, without mention of having achieved remission",44825236,"207.00",ICD9CM
Malignant carcinoid tumor of the stomach,44825237,"209.23",ICD9CM
"Benign carcinoid tumor of the small intestine, unspecified portion",44825238,"209.40",ICD9CM
Malignant neoplasm of other sites of lip,44827542,"140.8",ICD9CM
"Malignant neoplasm of floor of mouth, part unspecified",44827543,"144.9",ICD9CM
Malignant neoplasm of soft palate,44827544,"145.3",ICD9CM
Malignant neoplasm of tonsil,44827545,"146.0",ICD9CM
Malignant neoplasm of tonsillar pillars (anterior) (posterior),44827546,"146.2",ICD9CM
Malignant neoplasm of posterior hypopharyngeal wall,44827547,"148.3",ICD9CM
"Malignant neoplasm of other and ill-defined sites within the lip, oral cavity, and pharynx",44827548,"149",ICD9CM
Malignant neoplasm of waldeyer's ring,44827549,"149.1",ICD9CM
Benign carcinoid tumor of the transverse colon,44825239,"209.54",ICD9CM
Benign carcinoid tumor of the thymus,44825240,"209.62",ICD9CM
Benign neoplasm of colon,44825241,"211.3",ICD9CM
Benign neoplasm of mediastinum,44825242,"212.5",ICD9CM
Benign neoplasm of short bones of upper limb,44825243,"213.5",ICD9CM
Other benign neoplasm of connective and other soft tissue of pelvis,44825244,"215.6",ICD9CM
Benign neoplasm of vulva,44825245,"221.2",ICD9CM
Benign neoplasm of other specified sites of female genital organs,44825246,"221.8",ICD9CM
Benign neoplasm of other specified sites of male genital organs,44825247,"222.8",ICD9CM
"Benign neoplasm of eyeball, except conjunctiva, cornea, retina, and choroid",44825248,"224.0",ICD9CM
Benign neoplasm of orbit,44825249,"224.1",ICD9CM
Benign neoplasm of spinal cord,44825250,"225.3",ICD9CM
Carcinoma in situ of esophagus,44825251,"230.1",ICD9CM
Carcinoma in situ of larynx,44825252,"231.0",ICD9CM
Carcinoma in situ of other and unspecified urinary organs,44825253,"233.9",ICD9CM
Neoplasm of uncertain behavior of other and unspecified respiratory organs,44825254,"235.9",ICD9CM
Neoplasm of uncertain behavior of kidney and ureter,44825255,"236.91",ICD9CM
Neoplasm of uncertain behavior of breast,44825256,"238.3",ICD9CM
Neoplasm of unspecified nature of other genitourinary organs,44825257,"239.5",ICD9CM
Malignant neoplasm of upper gum,44826384,"143.0",ICD9CM
Malignant neoplasm of other and unspecified parts of mouth,44826385,"145",ICD9CM
"Malignant neoplasm of palate, unspecified",44826386,"145.5",ICD9CM
Malignant neoplasm of other specified sites of oropharynx,44826387,"146.8",ICD9CM
Malignant neoplasm of superior wall of nasopharynx,44826388,"147.0",ICD9CM
"Malignant neoplasm of hypopharynx, unspecified site",44826389,"148.9",ICD9CM
Malignant neoplasm of jejunum,44826390,"152.1",ICD9CM
Malignant neoplasm of descending colon,44826391,"153.2",ICD9CM
Malignant neoplasm of other specified sites of large intestine,44826392,"153.8",ICD9CM
Malignant neoplasm of anal canal,44826393,"154.2",ICD9CM
"Malignant neoplasm of anus, unspecified site",44826394,"154.3",ICD9CM
Malignant neoplasm of intrahepatic bile ducts,44826395,"155.1",ICD9CM
Malignant neoplasm of islets of langerhans,44826396,"157.4",ICD9CM
Malignant neoplasm of specified parts of peritoneum,44826397,"158.8",ICD9CM
Malignant neoplasm of maxillary sinus,44826398,"160.2",ICD9CM
"Malignant neoplasm of accessory sinus, unspecified",44826399,"160.9",ICD9CM
Malignant neoplasm of other specified sites of larynx,44826400,"161.8",ICD9CM
Malignant neoplasm of other parts of bronchus or lung,44826401,"162.8",ICD9CM
Malignant neoplasm of long bones of lower limb,44826402,"170.7",ICD9CM
Unspecified malignant neoplasm of skin of other and unspecified parts of face,44826403,"173.30",ICD9CM
"Unspecified malignant neoplasm of skin of lower limb, including hip",44826404,"173.70",ICD9CM
"Squamous cell carcinoma of skin of lower limb, including hip",44826405,"173.72",ICD9CM
Malignant neoplasm of other and unspecified sites of male breast,44826406,"175.9",ICD9CM
"Kaposi's sarcoma, unspecified site",44826407,"176.9",ICD9CM
"Malignant neoplasm of cervix uteri, unspecified site",44826408,"180.9",ICD9CM
Malignant neoplasm of body of uterus,44826409,"182",ICD9CM
Malignant neoplasm of epididymis,44826410,"187.5",ICD9CM
Malignant neoplasm of kidney and other and unspecified urinary organs,44826411,"189",ICD9CM
Malignant neoplasm of other specified sites of urinary organs,44826412,"189.8",ICD9CM
Malignant neoplasm of other specified sites of nervous system,44826413,"192.8",ICD9CM
Malignant neoplasm of carotid body,44826414,"194.5",ICD9CM
Malignant neoplasm of upper limb,44826415,"195.4",ICD9CM
Secondary malignant neoplasm of other specified sites,44826416,"198.89",ICD9CM
"Lymphosarcoma, spleen",44826417,"200.17",ICD9CM
"Marginal zone lymphoma, spleen",44826418,"200.37",ICD9CM
"Mantle cell lymphoma, lymph nodes of inguinal region and lower limb",44826419,"200.45",ICD9CM
Hodgkin's disease,44826420,"201",ICD9CM
"Hodgkin's sarcoma, intrathoracic lymph nodes",44826421,"201.22",ICD9CM
"Hodgkin's sarcoma, lymph nodes of multiple sites",44826422,"201.28",ICD9CM
"Hodgkin's disease, nodular sclerosis, unspecified site, extranodal and solid organ sites",44826423,"201.50",ICD9CM
"Hodgkin's disease, unspecified type, lymph nodes of axilla and upper limb",44826424,"201.94",ICD9CM
Malignant histiocytosis,44826425,"202.3",ICD9CM
"Leukemic reticuloendotheliosis, lymph nodes of axilla and upper arm",44826426,"202.44",ICD9CM
"Letterer-siwe disease, lymph nodes of inguinal region and lower limb",44826427,"202.55",ICD9CM
"Malignant mast cell tumors, lymph nodes of multiple sites",44826428,"202.68",ICD9CM
"Peripheral T cell lymphoma, lymph nodes of multiple sites",44826429,"202.78",ICD9CM
"Acute myeloid leukemia, without mention of having achieved remission",44826430,"205.00",ICD9CM
"Myeloid sarcoma, in relapse",44826431,"205.32",ICD9CM
"Unspecified myeloid leukemia, without mention of having achieved remission",44826432,"205.90",ICD9CM
"Monocytic leukemia, chronic",44826433,"206.1",ICD9CM
"Subacute monocytic leukemia, in relapse",44826434,"206.22",ICD9CM
"Chronic erythremia, in remission",44826435,"207.11",ICD9CM
Carcinoma in situ of skin of ear and external auditory canal,44828773,"232.2",ICD9CM
"Carcinoma in situ, unspecified female genital organ",44828774,"233.30",ICD9CM
"Carcinoma in situ, vulva",44828775,"233.32",ICD9CM
Carcinoma in situ of eye,44828776,"234.0",ICD9CM
Neoplasm of uncertain behavior of other and unspecified urinary organs,44828777,"236.9",ICD9CM
Neoplasm of uncertain behavior of pituitary gland and craniopharyngeal duct,44828778,"237.0",ICD9CM
Neoplasm of uncertain behavior of paraganglia,44828779,"237.3",ICD9CM
Neoplasm of uncertain behavior of other and unspecified parts of nervous system,44828780,"237.9",ICD9CM
Neoplasm of uncertain behavior of plasma cells,44828781,"238.6",ICD9CM
"Neoplasms of unspecified nature, retina and choroid",44828782,"239.81",ICD9CM
"Malignant neoplasm of lower lip, vermilion border",44828724,"140.1",ICD9CM
Malignant neoplasm of ventral surface of tongue,44828725,"141.3",ICD9CM
Malignant neoplasm of anterior portion of floor of mouth,44828726,"144.0",ICD9CM
Malignant neoplasm of ill-defined sites within the lip and oral cavity,44828727,"149.9",ICD9CM
Malignant neoplasm of cervical esophagus,44828728,"150.0",ICD9CM
Malignant neoplasm of stomach,44828729,"151",ICD9CM
"Malignant neoplasm of pancreas, part unspecified",44828730,"157.9",ICD9CM
Malignant neoplasm of retroperitoneum and peritoneum,44828731,"158",ICD9CM
Malignant neoplasm of ill-defined sites within the digestive organs and peritoneum,44828732,"159.9",ICD9CM
Malignant neoplasm of other parts of mediastinum,44828733,"164.8",ICD9CM
"Malignant neoplasm of connective and other soft tissue of lower limb, including hip",44828734,"171.3",ICD9CM
Malignant melanoma of skin of other and unspecified parts of face,44828735,"172.3",ICD9CM
"Melanoma of skin, site unspecified",44828736,"172.9",ICD9CM
"Other and unspecified malignant neoplasm of skin of eyelid, including canthus",44828737,"173.1",ICD9CM
Basal cell carcinoma of scalp and skin of neck,44828738,"173.41",ICD9CM
"Basal cell carcinoma of skin of trunk, except scrotum",44828739,"173.51",ICD9CM
Malignant neoplasm of isthmus,44828740,"182.1",ICD9CM
Malignant neoplasm of clitoris,44828741,"184.3",ICD9CM
Malignant neoplasm of cerebellum nos,44828742,"191.6",ICD9CM
"Malignant neoplasm of brain, unspecified",44828743,"191.9",ICD9CM
Malignant neoplasm of spinal meninges,44828744,"192.3",ICD9CM
Secondary and unspecified malignant neoplasm of lymph nodes of multiple sites,44828745,"196.8",ICD9CM
Secondary malignant neoplasm of adrenal gland,44828746,"198.7",ICD9CM
Secondary malignant neoplasm of other specified sites,44828747,"198.8",ICD9CM
"Mantle cell lymphoma, intrathoracic lymph nodes",44828748,"200.42",ICD9CM
"Primary central nervous system lymphoma, intrathoracic lymph nodes",44828749,"200.52",ICD9CM
Anaplastic large cell lymphoma,44828750,"200.6",ICD9CM
"Anaplastic large cell lymphoma, lymph nodes of head, face, and neck",44828751,"200.61",ICD9CM
"Hodgkin's sarcoma, intrapelvic lymph nodes",44828752,"201.26",ICD9CM
"Nodular lymphoma, spleen",44828753,"202.07",ICD9CM
"Leukemic reticuloendotheliosis, spleen",44828754,"202.47",ICD9CM
"Carcinoma in situ of lip, oral cavity, and pharynx",44828772,"230.0",ICD9CM
"Other leukemia of unspecified cell type, without mention of having achieved remission",44826436,"208.80",ICD9CM
Malignant carcinoid tumor of the transverse colon,44826437,"209.14",ICD9CM
Malignant carcinoid tumor of the descending colon,44826438,"209.15",ICD9CM
"Benign carcinoid tumors of the appendix, large intestine, and rectum",44826439,"209.5",ICD9CM
Peripheral T-cell lymphoma,44828755,"202.7",ICD9CM
"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, lymph nodes of multiple sites",44828756,"202.98",ICD9CM
"Acute myeloid leukemia, in remission",44828757,"205.01",ICD9CM
"Acute myeloid leukemia, in relapse",44828758,"205.02",ICD9CM
"Chronic erythremia, without mention of having achieved remission",44828759,"207.10",ICD9CM
"Chronic leukemia of unspecified cell type, without mention of having achieved remission",44828760,"208.10",ICD9CM
"Other leukemia of unspecified cell type, in relapse",44828761,"208.82",ICD9CM
"Malignant carcinoid tumor of foregut, not otherwise specified",44828762,"209.25",ICD9CM
Merkel cell carcinoma of the scalp and neck,44828763,"209.32",ICD9CM
Secondary Merkel cell carcinoma,44828764,"209.75",ICD9CM
Secondary neuroendocrine tumor of other sites,44828765,"209.79",ICD9CM
Benign neoplasm of respiratory and intrathoracic organs,44828766,"212",ICD9CM
Benign neoplasm of bone and articular cartilage,44828767,"213",ICD9CM
Benign neoplasm of prostate,44828768,"222.2",ICD9CM
"Benign neoplasm of male genital organ, site unspecified",44828769,"222.9",ICD9CM
"Benign neoplasm of nervous system, part unspecified",44828770,"225.9",ICD9CM
Benign neoplasm of other endocrine glands and related structures,44828771,"227.8",ICD9CM
Benign neoplasm of bronchus and lung,44826440,"212.3",ICD9CM
"Benign neoplasm of pelvic bones, sacrum, and coccyx",44826441,"213.6",ICD9CM
Other benign neoplasm of connective and other soft tissue of other specified sites,44826442,"215.8",ICD9CM
"Benign neoplasm of eyelid, including canthus",44826443,"216.1",ICD9CM
Benign neoplasm of other specified sites of skin,44826444,"216.8",ICD9CM
Uterine leiomyoma,44826445,"218",ICD9CM
"Hemangioma and lymphangioma, any site",44826446,"228",ICD9CM
Hemangioma of retina,44826447,"228.03",ICD9CM
"Lymphangioma, any site",44826448,"228.1",ICD9CM
Carcinoma in situ of colon,44826449,"230.3",ICD9CM
Carcinoma in situ of cervix uteri,44826450,"233.1",ICD9CM
Neoplasm of uncertain behavior of adrenal gland,44826451,"237.2",ICD9CM
Neoplasm of unspecified nature of breast,44826452,"239.3",ICD9CM
Neoplasm of unspecified nature of endocrine glands and other parts of nervous system,44826453,"239.7",ICD9CM
"Malignant neoplasm of endocrine gland, site unspecified",44829820,"194.9",ICD9CM
Secondary and unspecified malignant neoplasm of lymph nodes of inguinal region and lower limb,44829821,"196.5",ICD9CM
Secondary malignant neoplasm of mediastinum,44829822,"197.1",ICD9CM
Lymphosarcoma and reticulosarcoma and other specified malignant tumors of lymphatic tissue,44829823,"200",ICD9CM
"Lymphosarcoma, lymph nodes of inguinal region and lower limb",44829824,"200.15",ICD9CM
"Burkitt's tumor or lymphoma, intrapelvic lymph nodes",44829825,"200.26",ICD9CM
"Mantle cell lymphoma, unspecified site, extranodal and solid organ sites",44829826,"200.40",ICD9CM
"Primary central nervous system lymphoma, intra-abdominal lymph nodes",44829827,"200.53",ICD9CM
"Primary central nervous system lymphoma, lymph nodes of multiple sites",44829828,"200.58",ICD9CM
"Other named variants of lymphosarcoma and reticulosarcoma, lymph nodes of inguinal region and lower limb",44829829,"200.85",ICD9CM
"Hodgkin's paragranuloma, intrathoracic lymph nodes",44829830,"201.02",ICD9CM
"Hodgkin's sarcoma, intra-abdominal lymph nodes",44829831,"201.23",ICD9CM
"Hodgkin's sarcoma, spleen",44829832,"201.27",ICD9CM
"Hodgkin's disease, lymphocytic-histiocytic predominance, unspecified site, extranodal and solid organ sites",44829833,"201.40",ICD9CM
"Hodgkin's disease, nodular sclerosis, intrathoracic lymph nodes",44829834,"201.52",ICD9CM
"Hodgkin's disease, nodular sclerosis, spleen",44829835,"201.57",ICD9CM
"Hodgkin's disease, lymphocytic depletion, lymph nodes of head, face, and neck",44829836,"201.71",ICD9CM
"Hodgkin's disease, unspecified type, lymph nodes of multiple sites",44829837,"201.98",ICD9CM
Nodular lymphoma,44829838,"202.0",ICD9CM
"Mycosis fungoides, unspecified site, extranodal and solid organ sites",44829839,"202.10",ICD9CM
"Malignant histiocytosis, unspecified site, extranodal and solid organ sites",44829840,"202.30",ICD9CM
"Leukemic reticuloendotheliosis, intrathoracic lymph nodes",44829841,"202.42",ICD9CM
"Letterer-siwe disease, intra-abdominal lymph nodes",44829842,"202.53",ICD9CM
Other malignant lymphomas,44829843,"202.8",ICD9CM
"Acute lymphoid leukemia, without mention of having achieved remission",44829844,"204.00",ICD9CM
Myeloid sarcoma,44829845,"205.3",ICD9CM
"Myeloid sarcoma, in remission",44829846,"205.31",ICD9CM
"Unspecified myeloid leukemia, in remission",44829847,"205.91",ICD9CM
Other monocytic leukemia,44829848,"206.8",ICD9CM
Leukemia of unspecified cell type,44829849,"208",ICD9CM
"Subacute leukemia of unspecified cell type, without mention of having achieved remission",44829850,"208.20",ICD9CM
Other leukemia of unspecified cell type,44829851,"208.8",ICD9CM
"Unspecified leukemia, without mention of having achieved remission",44829852,"208.90",ICD9CM
Malignant carcinoid tumor of the thymus,44829853,"209.22",ICD9CM
"Malignant carcinoid tumor of midgut, not otherwise specified",44829854,"209.26",ICD9CM
Benign carcinoid tumor of the kidney,44829855,"209.64",ICD9CM
"Benign neoplasm of nasal cavities, middle ear, and accessory sinuses",44829856,"212.0",ICD9CM
Benign neoplasm of pleura,44829857,"212.4",ICD9CM
Lipoma of spermatic cord,44829858,"214.4",ICD9CM
Benign neoplasm of skin,44829859,"216",ICD9CM
Benign neoplasm of adrenal gland,44829860,"227.0",ICD9CM
Hemangioma of other sites,44829861,"228.09",ICD9CM
Benign neoplasm of other specified sites,44829862,"229.8",ICD9CM
Benign neoplasm of unspecified site,44829863,"229.9",ICD9CM
Carcinoma in situ of other and unspecified digestive organs,44829864,"230.9",ICD9CM
Carcinoma in situ of skin of other and unspecified parts of face,44829865,"232.3",ICD9CM
Neoplasm of uncertain behavior of digestive and respiratory systems,44829866,"235",ICD9CM
Neoplasm of uncertain behavior of retroperitoneum and peritoneum,44829867,"235.4",ICD9CM
Neoplasm of uncertain behavior of other and unspecified digestive organs,44829868,"235.5",ICD9CM
Neoplasm of uncertain behavior of larynx,44829869,"235.6",ICD9CM
"Neurofibromatosis, type 1 [von recklinghausen's disease]",44829870,"237.71",ICD9CM
Neoplasm of unspecified nature of respiratory system,44829871,"239.1",ICD9CM
Malignant neoplasm of oropharynx,44830966,"146",ICD9CM
Malignant neoplasm of tonsillar fossa,44830967,"146.1",ICD9CM
Malignant neoplasm of lateral wall of oropharynx,44830968,"146.6",ICD9CM
Malignant neoplasm of other specified sites of hypopharynx,44830969,"148.8",ICD9CM
"Malignant neoplasm of other sites of rectum, rectosigmoid junction, and anus",44830970,"154.8",ICD9CM
Malignant neoplasm of pancreas,44830971,"157",ICD9CM
"Malignant neoplasm of lower lobe, bronchus or lung",44830972,"162.5",ICD9CM
"Malignant neoplasm of upper respiratory tract, part unspecified",44830973,"165.0",ICD9CM
"Malignant neoplasm of connective and other soft tissue of upper limb, including shoulder",44830974,"171.2",ICD9CM
Malignant neoplasm of other specified sites of connective and other soft tissue,44830975,"171.8",ICD9CM
"Malignant neoplasm of connective and other soft tissue, site unspecified",44830976,"171.9",ICD9CM
Other specified malignant neoplasm of skin of other and unspecified parts of face,44830979,"173.39",ICD9CM
"Other and unspecified malignant neoplasm of skin of upper limb, including shoulder",44830980,"173.6",ICD9CM
"Squamous cell carcinoma of skin, site unspecified",44830981,"173.92",ICD9CM
"Other specified malignant neoplasm of skin, site unspecified",44830982,"173.99",ICD9CM
"Kaposi's sarcoma, soft tissue",44830983,"176.1",ICD9CM
"Kaposi's sarcoma, lung",44830984,"176.4",ICD9CM
Malignant neoplasm of lacrimal duct,44830985,"190.7",ICD9CM
"Malignant neoplasm of cerebrum, except lobes and ventricles",44830986,"191.0",ICD9CM
"Malignant neoplasm of nervous system, part unspecified",44830987,"192.9",ICD9CM
Malignant neoplasm of aortic body and other paraganglia,44830988,"194.6",ICD9CM
Secondary malignant neoplasm of small intestine including duodenum,44830989,"197.4",ICD9CM
"Malignant neoplasm of liver, secondary",44830990,"197.7",ICD9CM
Reticulosarcoma,44830991,"200.0",ICD9CM
"Reticulosarcoma, intrathoracic lymph nodes",44830992,"200.02",ICD9CM
"Burkitt's tumor or lymphoma, intrathoracic lymph nodes",44830993,"200.22",ICD9CM
"Mantle cell lymphoma, lymph nodes of multiple sites",44830994,"200.48",ICD9CM
"Primary central nervous system lymphoma, spleen",44830995,"200.57",ICD9CM
"Large cell lymphoma, intra-abdominal lymph nodes",44830996,"200.73",ICD9CM
Other named variants of lymphosarcoma and reticulosarcoma,44830997,"200.8",ICD9CM
"Other named variants of lymphosarcoma and reticulosarcoma, intrapelvic lymph nodes",44830998,"200.86",ICD9CM
"Hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of head, face, and neck",44830999,"201.41",ICD9CM
"Mycosis fungoides, intra-abdominal lymph nodes",44831000,"202.13",ICD9CM
"Malignant histiocytosis, lymph nodes of head, face, and neck",44831001,"202.31",ICD9CM
"Malignant histiocytosis, intra-abdominal lymph nodes",44831002,"202.33",ICD9CM
"Malignant histiocytosis, intrapelvic lymph nodes",44831003,"202.36",ICD9CM
"Letterer-siwe disease, unspecified site, extranodal and solid organ sites",44831004,"202.50",ICD9CM
"Letterer-siwe disease, lymph nodes of head, face, and neck",44831005,"202.51",ICD9CM
Malignant mast cell tumors,44831006,"202.6",ICD9CM
"Malignant mast cell tumors, intra-abdominal lymph nodes",44831007,"202.63",ICD9CM
"Malignant mast cell tumors, intrapelvic lymph nodes",44831008,"202.66",ICD9CM
"Malignant mast cell tumors, spleen",44831009,"202.67",ICD9CM
"Peripheral T cell lymphoma, lymph nodes of axilla and upper limb",44831010,"202.74",ICD9CM
"Other malignant lymphomas, lymph nodes of multiple sites",44831011,"202.88",ICD9CM
"Other and unspecified malignant neoplasms of lymphoid and histiocytic tissue, lymph nodes of axilla and upper limb",44831012,"202.94",ICD9CM
"Lymphoid leukemia, chronic",44831013,"204.1",ICD9CM
"Subacute lymphoid leukemia, in relapse",44831014,"204.22",ICD9CM
"Other lymphoid leukemia, without mention of having achieved remission",44831015,"204.80",ICD9CM
"Unspecified lymphoid leukemia, in remission",44831016,"204.91",ICD9CM
Monocytic leukemia,44831017,"206",ICD9CM
"Unspecified monocytic leukemia, in relapse",44831018,"206.92",ICD9CM
"Other specified leukemia, without mention of having achieved remission",44831019,"207.80",ICD9CM
Malignant carcinoid tumors of the small intestine,44831020,"209.0",ICD9CM
Malignant carcinoid tumor of the duodenum,44831021,"209.01",ICD9CM
Malignant carcinoid tumor of the appendix,44831022,"209.11",ICD9CM
Benign carcinoid tumor of the sigmoid colon,44831023,"209.56",ICD9CM
Secondary neuroendocrine tumor of distant lymph nodes,44831024,"209.71",ICD9CM
Benign neoplasm of lip,44831025,"210.0",ICD9CM
Benign neoplasm of retroperitoneum and peritoneum,44831026,"211.8",ICD9CM
Benign neoplasm of scapula and long bones of upper limb,44831027,"213.4",ICD9CM
"Other benign neoplasm of connective and other soft tissue of upper limb, including shoulder",44831028,"215.2",ICD9CM
Benign neoplasm of bladder,44831029,"223.3",ICD9CM
Benign neoplasm of choroid,44831030,"224.6",ICD9CM
Benign neoplasm of brain and other parts of nervous system,44831031,"225",ICD9CM
Benign neoplasm of brain,44831032,"225.0",ICD9CM
Carcinoma in situ of rectum,44831033,"230.4",ICD9CM
Carcinoma in situ of other specified sites of skin,44831034,"232.8",ICD9CM
"Carcinoma in situ, other female genital organ",44831035,"233.39",ICD9CM
